model,prompt,fra_Latn,aeb_Arab,afr_Latn,aka_Latn,amh_Ethi,ary_Arab,arz_Arab,bam_Latn,bem_Latn,cjk_Latn,dik_Latn,dyu_Latn,ewe_Latn,fon_Latn,fuv_Latn,gaz_Latn,hau_Latn,ibo_Latn,kab_Latn,kam_Latn,kbp_Latn,kea_Latn,kik_Latn,kin_Latn,kmb_Latn,knc_Arab,knc_Latn,kon_Latn,lin_Latn,lua_Latn,lug_Latn,luo_Latn,mos_Latn,nso_Latn,nus_Latn,nya_Latn,plt_Latn,run_Latn,sag_Latn,sna_Latn,som_Latn,sot_Latn,ssw_Latn,swh_Latn,taq_Latn,taq_Tfng,tir_Ethi,tsn_Latn,tso_Latn,tum_Latn,twi_Latn,tzm_Tfng,umb_Latn,wol_Latn,xho_Latn,yor_Latn,zul_Latn,afr_Latn,amh_Ethi,bem_Latn,ewe_Latn,hau_Latn,ibo_Latn,kin_Latn,mlg_Latn,nde_Latn,nso_Latn,nya_Latn,orm_Ethi,sna_Latn,som_Latn,ssw_Latn,swa_Latn,tir_Ethi,tsn_Latn,ven_Latn,wol_Latn,xho_Latn,yor_Latn,zul_Latn,eng-ach,eng-lgg,eng-lug,eng-nyn,eng-swa,eng-teo,en_amh,en_hau,en_ibo,en_kin,en_lug,en_luo,en_nya,en_pcm,en_sna,en_swa,en_tsn,en_twi,en_xho,en_yor,en_zul,fr_bam,fr_bbj,fr_ewe,fr_fon,fr_mos,fr_wol,avg,,,eng-ibo
gemma-1.1-7b-it,prompt_1,26.15,7.06,34.71,8.37,1.78,7.82,5.38,5.69,7.96,4.4,3.3,4.44,5.87,2.6,3.65,4.03,21.72,16.46,2.43,9.32,2.78,8.12,7.3,8.18,5.01,2.52,6.53,10.56,10.52,5.17,6.88,2.96,4.7,15.29,1.92,7.38,10.09,11.03,4.86,11.76,18.42,13.32,5.32,15.23,3.06,0.1,0.93,15.28,8.04,5.66,5.37,0.1,9.36,12.12,9.15,7.49,11.23,28.6,2.1,6.9,6.5,25.3,20.8,7.0,24.1,8.2,16.0,16.1,4.6,5.1,17.5,5.3,15.9,1.2,12.6,2.0,12.2,8.6,7.22,10.71,3.04,2.34,0.96,10.46,11.79,3.18,8.3,30.7,25.7,25.6,23.4,18.9,27.1,43.2,27.2,47.7,26.8,20.7,26.8,17.6,27.2,11.9,4.5,14.4,7.5,8.2,13.45,11.3,,,12.86
gemma-1.1-7b-it,prompt_2,1.39,9.62,17.62,11.18,2.15,4.58,1.64,9.02,3.74,3.61,6.32,5.82,6.21,4.4,11.21,7.74,23.29,19.3,0.96,10.76,6.31,11.13,5.94,4.67,6.87,0.62,4.96,13.74,13.13,1.85,3.91,7.45,6.48,14.97,4.15,3.62,25.11,14.95,8.74,13.32,15.95,8.17,6.17,4.56,4.66,0.16,1.32,8.09,9.27,4.92,11.84,0.07,9.25,12.1,12.23,10.04,17.71,15.9,2.5,5.0,7.2,24.8,24.0,4.3,15.6,11.3,14.7,12.4,9.1,7.7,16.8,6.0,4.3,1.5,5.5,11.4,12.7,10.6,9.36,16.79,3.6,0.35,0.23,10.3,2.24,3.68,10.8,32.3,24.3,31.5,26.5,18.0,32.8,41.1,29.9,49.7,32.5,25.3,31.8,19.7,31.6,10.8,4.9,16.1,8.7,9.1,13.51,11.7,,,13.85
gemma-1.1-7b-it,prompt_3,1.46,5.58,20.75,7.79,2.14,2.35,1.17,9.52,2.36,1.1,6.26,4.86,7.29,6.13,11.09,7.74,20.55,19.28,1.85,7.28,6.44,11.27,3.77,5,4.05,0.66,4.76,7.25,6.99,1.38,2.59,6.68,6.52,8.96,5,2.76,24.46,12.5,8.34,7.68,13.57,4.24,8.02,5.05,6.48,0.25,1.37,10.04,6.56,3.5,7.53,0.13,8.92,8.47,12.73,9.76,16.49,18.8,2.5,2.3,8.8,21.7,24.0,4.7,10.4,10.6,8.0,7.7,9.0,6.6,14.3,8.5,3.4,1.5,5.8,10.5,9.3,10.8,9.1,16.25,4.83,0.41,0.31,10.57,2.12,2.85,7.3,28.7,23.3,27.6,24.5,18.8,28.3,39.2,28.6,45.3,27.7,21.7,27.8,18.1,26.7,10.6,4.3,14.7,6.7,7.5,12.79,10.4,,,14.05
Llama-2-7b-chat-hf,prompt_1,51.97,15.34,35.5,8.21,3.63,15.84,17.44,9.31,6.56,6.8,3.92,9.01,11.66,2.53,8.16,6.47,6.47,8.65,3.31,9.79,6.01,22.01,8.44,10.1,6.16,6.4,3.43,10.35,10.82,9.03,11.08,6.74,7.22,10.2,3.75,10.33,10.07,8.82,11.2,10.14,10.66,11.36,10.65,13.77,4.03,4.64,2.77,9.39,7.72,8.23,12.9,6.42,6.04,8.37,12.18,6.79,11.25,37.9,4.0,9.0,14.9,8.1,9.8,10.9,12.1,7.4,12.0,12.8,7.9,9.1,12.8,10.9,16.3,3.0,11.1,7.3,10.9,13.1,6.66,11.99,4,3.83,9.16,7.81,14.14,3.63,2.7,13.4,10.8,15.8,15.4,16.3,19.3,28.6,16.8,15.8,16.3,14.9,15.1,7.5,16.3,11.9,5.7,14.8,7.9,11.3,13.28,10.5,,,6.13
Llama-2-7b-chat-hf,prompt_2,21.19,22.1,3.5,10.87,4.66,21.72,22.51,3.56,9.06,1.16,0.27,4.16,6.14,4.14,8.65,1.67,8.44,8.09,0.09,8.79,5.67,7.74,8.01,3.2,0.32,1.06,2.54,7.53,6.73,1.25,0.34,2.83,2.12,4.27,0.05,12.27,6.09,1.47,6.58,0.66,6.91,5.83,0.83,6.14,0.14,8.2,3.32,1.03,2.16,4.71,11.15,8.88,1.08,4.83,2.68,7.14,1.25,2.9,4.5,12.0,7.9,9.3,9.7,3.6,5.6,1.5,6.5,15.1,2.3,0.3,8.2,0.9,5.7,3.3,2.7,1.0,6.0,3.5,7.22,2.27,2.72,0.52,0.02,0.37,1.38,0.37,4.7,16.3,14.4,18.8,17.3,18.5,20.9,36.7,19.2,20.6,19.0,17.4,19.1,10.9,19.7,13.5,6.0,15.6,8.2,11.7,14.37,7.3,,,5.32
Llama-2-7b-chat-hf,prompt_3,30.79,22.77,1.65,9.99,4.68,22.32,22.91,3.36,4.1,3.62,1.53,5.04,2.71,4.59,1.95,7.48,1.11,6.57,0.44,4.37,5.58,7.65,5.42,8.89,0.45,1.16,1.66,3.1,3.49,1.67,0.7,1.68,2.15,0.81,0.35,6.08,0.49,1.19,6.73,1.05,3.15,1.98,0.58,3,0.1,9.01,3.49,0.28,0.46,5.86,10.08,8.62,1.35,5.29,0.65,6.14,0.46,1.4,4.5,7.1,5.2,2.5,8.3,10.1,1.0,0.4,2.3,15.5,8.4,0.4,5.3,0.7,4.0,3.4,0.2,0.3,7.2,1.2,6.93,0.66,3.46,0.17,0.49,0.59,2.77,0.21,1.7,12.8,11.0,15.3,15.2,14.6,15.3,24.7,15.7,15.5,16.3,15.1,15.8,7.9,16.1,12.4,6.3,15.8,8.1,11.1,13.13,6.0,,,4.89
Meta-Llama-3-8B-Instruct,prompt_1,63.91,18.46,58.51,7.76,3.6,18.7,24.53,5.15,11.83,13.02,10.05,5.22,12.97,9.42,6.31,5.09,26.41,12.72,7.14,13.32,5.03,23.09,14.2,12.68,9.87,1.95,2.8,10.76,11.39,13.13,10.62,13.69,11.65,13.85,7.91,11.55,16.63,11.68,12.79,12.04,16.34,12.62,16.14,36.79,4,0.85,3.05,11.94,11.88,11.52,9.37,0.39,10.67,8.94,11.9,6.94,12.29,58.2,3.1,15.7,16.2,27.8,14.9,13.7,19.5,12.4,13.7,13.8,3.6,15.8,16.5,17.9,40.7,2.7,12.8,15.6,9.1,13.3,8.26,15.59,3.51,0.92,10.78,8.28,42.54,4.92,9.3,27.4,19.5,25.9,21.5,16.0,20.4,45.1,22.1,39.1,27.0,22.4,20.2,13.8,22.9,11.4,6.2,14.6,7.3,9.0,13.31,14.6,,,11.62
Meta-Llama-3-8B-Instruct,prompt_2,66.14,25.99,61.56,11.02,4.21,22.07,29.6,4.53,10.9,6.39,3.65,2.72,7.02,3.51,5.61,12.7,28.81,14.85,8.78,12.86,4.65,24.72,13.3,14.34,8.68,1.34,3.38,10.85,11.94,5.88,11.98,6.49,2.72,12.17,2.79,13.03,22.06,11.96,5.14,13.24,17.64,14.09,5.47,42.34,5.45,1.66,3.46,13.58,10.58,10.81,12.07,0.39,7.87,8.23,13.26,9.81,14.44,60.9,3.7,12.8,6.0,29.7,15.7,15.2,22.5,10.3,12.0,14.8,12.5,13.7,18.4,3.7,44.0,3.3,13.7,12.0,9.3,13.5,10.34,14.35,5.16,4.24,10.59,8.55,43.67,4.74,13.4,33.5,35.4,36.1,32.7,21.4,29.0,52.2,28.8,50.1,36.0,31.1,31.7,19.2,33.7,15.5,7.0,23.8,9.5,12.1,18.01,15.9,,,12.73
Meta-Llama-3-8B-Instruct,prompt_3,66.09,27.9,61.65,10.35,4.14,25.82,31.68,4.86,10.68,6.43,3.24,2.46,3.69,4.64,4.97,12.47,28.75,13.73,8.51,11.56,3.9,26.67,11.47,14.12,8.72,0.51,2.88,10.96,11.86,7.19,11.5,5.58,2.65,12.56,2.62,12.89,21.54,11.43,2.62,13.32,17.58,13.72,11.79,42.53,3.24,0.67,3.38,13.34,10.27,10.49,11.96,0.31,7.51,8.01,12.88,9.74,13.88,61.0,3.8,12.1,4.8,30.1,15.7,15.3,23.0,10.5,12.2,15.1,12.3,12.6,18.3,13.1,44.3,3.2,14.2,11.7,9.4,12.5,10.02,14.34,5.71,3.11,10.28,8.46,42.65,3.8,8.5,27.2,23.5,26.7,23.0,17.4,23.1,42.8,24.4,33.6,26.4,24.5,22.9,16.0,24.3,12.4,4.6,16.7,7.1,7.5,13.44,14.6,,,11.35
LLaMAX3-8B-Alpaca,prompt_1,64.64,35.77,64.19,15.89,19.12,32.05,38,7.11,16.36,16.78,4.7,8.45,16.46,11.21,10.6,14.65,43.3,33.24,8.42,22.14,12.02,25.2,19.73,17.83,10.7,4.23,11.22,14.4,16.64,11.7,17.73,9.65,9.94,17.57,5.79,38,26.95,14.43,13.24,37.71,37.7,16.66,18.87,52.49,5.69,0.48,5.71,16.28,18.56,24.47,8.22,0.38,16.77,14.78,36.96,19.64,37.85,63.4,13.6,17.7,19.4,45.0,37.1,20.6,28.7,28.6,16.6,40.8,15.0,36.2,40.6,11.1,55.3,5.4,17.3,17.7,16.8,36.4,20,37.24,8.78,4.01,20.44,14.86,56.41,11.1,9.5,29.3,27.3,25.4,24.9,19.1,32.9,27.9,29.3,37.0,24.6,19.9,29.7,15.3,30.3,13.8,9.7,19.0,10.2,13.3,16.43,21.8,,,32.64
