model,prompt,fra_Latn,aeb_Arab,afr_Latn,aka_Latn,amh_Ethi,ary_Arab,arz_Arab,bam_Latn,bem_Latn,cjk_Latn,dik_Latn,dyu_Latn,ewe_Latn,fon_Latn,fuv_Latn,gaz_Latn,hau_Latn,ibo_Latn,kab_Latn,kam_Latn,kbp_Latn,kea_Latn,kik_Latn,kin_Latn,kmb_Latn,knc_Arab,knc_Latn,kon_Latn,lin_Latn,lua_Latn,lug_Latn,luo_Latn,mos_Latn,nso_Latn,nus_Latn,nya_Latn,plt_Latn,run_Latn,sag_Latn,sna_Latn,som_Latn,sot_Latn,ssw_Latn,swh_Latn,taq_Latn,taq_Tfng,tir_Ethi,tsn_Latn,tso_Latn,tum_Latn,twi_Latn,tzm_Tfng,umb_Latn,wol_Latn,xho_Latn,yor_Latn,zul_Latn,afr_Latn,amh_Ethi,bem_Latn,ewe_Latn,hau_Latn,ibo_Latn,kin_Latn,mlg_Latn,nde_Latn,nso_Latn,nya_Latn,orm_Ethi,sna_Latn,som_Latn,ssw_Latn,swa_Latn,tir_Ethi,tsn_Latn,ven_Latn,wol_Latn,xho_Latn,yor_Latn,zul_Latn,ach-eng,lgg-eng,lug-eng,nyn-eng,swa-eng,teo-eng,amh_en,bam_fr,bbj_fr,ewe_fr,fon_fr,hau_en,ibo_en,kin_en,lug_en,luo_en,mos_fr,nya_en,pcm_en,sna_en,swa_en,tsn_en,twi_en,wol_fr,xho_en,yor_en,zul_en,avg,,,ibo-eng
gemma-1.1-7b-it,prompt_1,13.84,1.08,21.32,0.86,10.81,0.73,0.84,0.43,1.78,0.25,0.27,0.44,1.13,0.18,0.41,2.02,3.8,5.52,0.98,0.75,0.22,0.7,1.14,4.87,0.8,0.62,1.12,3.79,4.95,0.15,1.79,0.32,0.35,2.43,1.42,0.64,0,1.67,0.6,1.32,3.79,1.04,0.25,10.46,1.31,0.29,5.5,2.82,2.52,0.07,8.73,0.37,0.41,3.18,3.17,2.64,2.7,30.5,7.6,2.23,1.87,6.37,7.62,7.36,12.38,2.87,2.04,3.52,2.96,1.18,5.4,0.51,15.77,5.02,4.29,0.56,3.76,4.99,2.68,4.53,0,0,0.04,0.12,4.99,0.05,31.27,21.34,17.9,29.07,21.27,37.31,40.07,45.14,38.41,27.87,20.8,40.54,57.64,40.84,54.66,42.57,35.37,23.15,47.62,35.32,44.38,9.7,,,0.95
gemma-1.1-7b-it,prompt_2,0.54,2.03,2.02,1.56,10.74,1.31,2,0.89,0.34,0.43,1.72,0.39,1.34,0.17,1.77,1.4,0.91,3.76,0.67,1.23,0.29,2.05,0.74,2.02,0.78,0.46,0.88,0.65,0.6,0.78,0.83,0.17,0.76,1.57,0.73,0.56,1.45,1.01,0.38,1.25,1.39,0.46,0.36,1.25,0.75,0.13,8.18,0.65,1.61,1.14,1.35,0.33,0.86,1.13,1.2,2.39,1.81,2.55,5.56,0.62,0.89,1.48,4.17,2.82,3.14,1.55,1.38,1.56,1.94,2.81,1.95,0.32,2.33,6.82,1.16,1.93,0.96,1.45,1.68,1.86,0.05,0.48,0.07,0.09,0.33,0.04,31.69,18.06,14.32,25.69,19.31,38,37.36,47,38.27,24.03,17.62,41.49,59.38,40.19,55.61,43.48,35.13,21.32,48.16,34.13,44.56,8.2,,,1.3
gemma-1.1-7b-it,prompt_3,0.05,0.3,0.19,0.08,0.16,0.24,0.39,0.07,0.08,0.12,0.33,0.04,0.23,0.02,0.55,1.04,0.1,0.29,0.25,0.14,0.09,0.19,0.05,0.31,0.15,0.12,0.16,0.14,0,0.34,0.13,0.04,0.28,0,0.07,0.03,0.72,0.37,0.01,0.47,0.5,0.03,0,0,0.18,0.06,0.02,0.08,0.07,0.04,0.31,0.22,0.1,0.14,0.16,0.18,0.61,0.59,0.22,0.21,0.11,0.3,0.7,0.47,1.14,0.25,0.26,0.21,1.49,0.41,0.65,0.18,0.32,0.18,0.26,0.52,0.18,0.3,0.52,0.56,0.01,0.02,0.08,0.01,0.68,0.1,30.08,17.16,12.82,23.45,16.87,36.53,36.49,45.76,35.53,22.16,16.93,40.77,53.05,39.29,53.05,42.42,31.48,19.8,47.52,33.06,43.54,6.8,,,0.77
Llama-2-7b-chat-hf,prompt_1,60.51,30.81,52.3,10.87,18.78,23.87,30.82,13.22,11.43,13.44,7.94,16.21,20.05,15.59,13.05,9.77,7.61,10.83,10.7,12.81,6.04,18.05,9.23,5.78,5.67,10.38,3.8,7.82,6.74,7.68,5.97,18.23,12.6,10.71,12.37,6.33,3.31,10.17,13.08,4.02,9.08,9.91,20.3,12.88,15.12,3.73,18.6,7.32,10.05,7.21,19.4,2.37,3.49,12.11,6.4,7.45,13.88,51.89,17.94,14.06,22.26,12.56,17.27,8.93,7.92,9.59,14.38,12.78,16.51,5.6,13.82,19.73,15.95,17.6,12.58,12.85,15.66,10.19,9.75,17.11,17.04,15.73,18.03,15.96,21.98,13.48,12.99,14.69,12.36,16.73,17.15,18.87,16.02,22.37,19.11,20.66,15.57,23.68,39.75,19.78,21.93,19.44,22.99,15.87,19.47,19.3,19.97,14.7,,,13.61
Llama-2-7b-chat-hf,prompt_2,63.53,29.32,61.63,17.85,6.57,21.62,25.46,14.56,13.35,17.49,12.24,14.82,14.58,9.57,18.07,10.17,16.55,13.25,15.84,18.33,15.25,38.39,10.81,18.61,16.45,1.01,5.16,18.15,17.03,19.04,17.81,16.79,14.89,19.44,10.16,21.59,16.3,17.82,16.84,13.14,16.48,20.98,19.4,24.67,18.01,7.02,8.47,20.1,18.35,16.54,18.6,3.9,15.15,16.55,21.07,14.26,12.98,58.54,8.16,16.1,17.91,16.67,17.32,19.19,19.34,18.94,22.42,21.02,12.6,13.9,17.79,20.13,26.84,8.99,20.66,14.99,16.84,19.96,15.88,16.91,17.81,18.35,18.69,18.79,21.53,16.62,17.31,17.37,14.95,20.46,19.13,20.66,20.12,24.21,21.15,21.58,18.11,25.4,47.94,21.81,24.65,21.37,24.92,18.47,21.9,22.19,23.71,18.6,,,16.11
Llama-2-7b-chat-hf,prompt_3,61.14,35.74,61.25,22.4,14.49,30.91,36.67,13.13,18.84,22.1,20.42,18.73,20.04,18.37,19.68,20.81,16.6,16.77,17.18,20.09,20.13,37.4,19.28,21.17,17.35,7.94,10.04,19.39,13,22.16,20.22,20.41,17.15,20.72,13.99,22.49,19.28,19.53,20.99,21.4,19.94,22.47,21.46,26.47,21.81,10.51,9.05,22.08,18.94,19.33,20.2,4.3,17.05,19.11,16.56,16.17,11.96,57.75,16.52,20.13,22.06,17.55,19.92,22.57,19.53,20.93,23.34,25.02,19.99,22.82,21.95,22.4,29.33,10.99,18.4,14.1,20.1,16.33,18.21,16.44,17.79,18.89,18.88,18.67,24.51,17.26,15.96,15.43,14.16,18.84,16.5,18.71,17.46,22.5,21.52,21.33,16.28,21.92,32.84,20.66,21.74,21.12,22.25,15.9,19.79,19.76,20.41,20.3,,,16.33
Meta-Llama-3-8B-Instruct,prompt_1,67.4,52.2,72.03,27.25,23.66,48.13,54.48,21.31,23.69,20.11,23.54,20.54,20.34,19.85,21.31,20.97,38.15,32.18,16.61,23.73,21.48,48.92,24.81,31.1,22.6,15.25,22.06,25.74,25.83,23.38,27.24,21.56,18.44,27.03,19.86,28.69,29.3,22.52,20.42,26.77,27.67,26.65,22.92,55.39,23.68,17.91,18.02,26.66,21.85,25.98,29.33,17.65,22.27,22.56,29.29,26.95,27.95,67.56,14.64,22.89,21.79,31.03,32.34,27.37,24.38,26.44,23.96,26.14,18.71,21.64,25.5,24.42,51.29,14.78,25.31,22.33,20.84,25.7,20,29.27,17.77,20.97,26.82,21.78,57.03,17.29,25.61,19.31,14.96,23.98,20.79,33.97,31.35,40.28,32.32,23.64,18.42,33.41,55.31,28.98,46.77,33.99,30.56,21.1,33.63,29.7,33.97,27.7,,,30.02
Meta-Llama-3-8B-Instruct,prompt_2,64.98,48.14,66.7,18.49,12.05,44.54,44.16,8.56,12.66,7.74,12.87,3.84,15.88,10.5,19.1,11.53,33.44,31.43,1.92,12.44,14.54,20.47,10.55,23.38,4.08,9.23,4.53,5.48,15.02,6.77,21.08,7.4,2.02,24.32,13.35,13.22,19.08,6.64,8.26,18.66,25.03,22.69,4.14,50.33,10.21,7.38,7.39,14.25,12.7,10.17,19.16,13.22,2.63,8.84,22.49,15,21.07,52.73,9.84,5.48,9.09,19.6,24.6,18.08,15.71,7.28,18.71,4.88,2.48,6.38,19.82,9.57,30.2,6.99,16.52,7.09,4.84,11.38,11.36,7.71,2.53,1.31,3.55,1.14,13.6,0,30.53,19.99,16.59,28.13,21.43,34.92,40.12,44.13,38.55,26.51,19.62,35.93,60.29,32.16,55.34,39.15,33.68,21.8,38.48,34.8,39.16,18.7,,,7.14
Meta-Llama-3-8B-Instruct,prompt_3,66.47,51.31,72.03,20.59,17.3,48.47,52.03,19.2,23.79,16.52,22.58,17.6,21.63,18.44,20.59,18.09,39.31,33.28,13.01,23.45,21.27,44.03,19.13,30.93,13.15,11.66,15.52,15.07,24.89,16.87,26.59,19.99,17.71,26.01,18.3,26.24,27.08,14.58,20.23,25.98,28.69,24.31,10.69,53.67,19.03,11.58,18.08,19.18,21.92,21.81,23.32,16.97,12.05,20.94,27.08,20.9,25.76,64.1,9.51,14.62,18.41,33.63,29.48,22.86,18.07,17.71,24.27,9.77,8.31,12.34,27.53,16.96,36.35,13.81,22.22,16.14,15.79,12.14,17.52,19.33,4.1,3.34,10.04,0.99,16.46,0.45,23.23,17.57,13.41,21.27,18.07,31.25,28.03,35.81,28.28,20.31,16.47,28.78,53.92,23.57,44.96,29.63,28.32,19.72,27.32,26.51,27.78,23.0,,,5.86
LLaMAX3-8B-Alpaca,prompt_1,66.84,50.84,72.61,27.45,45.67,46.98,54.02,23.83,28.17,23.48,23.44,23.84,23.94,21.82,24.97,27.28,48.77,43.2,21.2,24.95,24.02,44.18,25.99,38.5,24.06,16.25,23.9,27.6,33.34,25.72,31.64,22.87,22.35,31.18,21.39,43,41.26,32.38,25.2,44.07,44.54,31.83,34.31,59.67,24.82,14.59,26.82,30.59,27.27,32.3,28.38,19.54,24.12,28.54,48.78,32.97,49.29,72.25,39.59,30.39,26.41,51.41,46.01,40.96,41.7,40.53,33.52,46.21,26.07,46.79,50.45,36.49,59.27,26.94,34.5,27.41,28.21,48.11,34.96,48.17,16.91,19.82,35.34,23.38,62.35,16.54,30.36,16.9,12.44,20.85,16.87,34.58,34.18,37.94,35.32,23.28,14.31,38.54,58.74,41.05,49.55,31.77,26.44,20.61,46.47,32.59,43.8,33.9,,,40.22
