model,prompt,eng,fra,afr,amh,ary,arz,bam,hau,ibo,lin,por,sna,swa,tir,tsn,tso,wol,xho,yor,zul,fuv,gaz,kea,kin,lug,luo,nya,plt,som,sot,ssw,hau,ibo,yor,avg_score
AfroLlama-V1,prompt_1,23.78,24,24.44,22,22.56,25.44,19.22,25.78,23.89,24.11,22.67,26.44,24.22,22.56,25.22,26.22,23.89,24.78,27.22,27,,,,,,,,,,,,17.1,27.4,31.4,
AfroLlama-V1,prompt_2,25.33,22.89,24.11,22.67,23.78,25,22,25.89,24.56,25.56,24.22,24.67,23.33,22.56,26.78,24,27,24.33,27,28,22.56,22.89,23,22.89,22.89,23,22.67,22.89,22.89,22.56,22.89,17.1,26.2,31.9,24.1
AfroLlama-V1,prompt_3,22.33,22.78,24.67,21.11,26.56,26.22,21.22,26.11,23.22,25,22.67,24,23.33,22,25.22,26.89,25.44,23.89,27.22,28.22,,,,,,,,,,,,23.2,27.4,26.2,
AfroLlama-V1,prompt_4,22.56,22,22.22,22.22,26.22,25,23.89,24.33,23.78,24.33,23.22,26.33,21.67,22.22,23.56,23.67,26.22,24.67,27.11,25.78,,,,,,,,,,,,19.5,26.2,33.0,
AfroLlama-V1,prompt_5,23.44,22.89,21.33,22.22,22.44,23.78,20.78,24.22,24,23.11,22.11,22.78,22.56,22.44,24.11,22.89,22.89,22.89,25.22,23.33,,,,,,,,,,,,19.5,26.2,32.5,
InkubaLM-0.4B,prompt_1,21.22,22.78,22.56,22.89,24.44,23.22,22.67,21.56,22.89,22.56,23.44,25.33,23.22,21.89,22.67,21.78,21.33,23.11,22,23.11,,,,,,,,,,,,11.0,26.2,29.8,
InkubaLM-0.4B,prompt_2,23.22,23,23.33,22.56,23.11,22.22,22.22,22.78,22.78,25.44,23.22,25.89,25.11,22.11,24.11,20.11,21.78,22.56,21.56,22.11,,,,,,,,,,,,12.2,34.5,31.9,
InkubaLM-0.4B,prompt_3,22.11,22.89,22.89,21.67,22.22,23.11,23.11,21.11,22.56,22.67,23.44,24,22.78,22,22.56,22.11,22.44,22.89,22.11,23,,,,,,,,,,,,12.2,27.4,29.8,
InkubaLM-0.4B,prompt_4,23.89,21.56,25.89,24.78,22.44,22.78,23.67,24.11,25.44,28.33,24.11,26.22,26,22.89,24.56,26.22,24.44,23,25,22.89,,,,,,,,,,,,19.5,25.0,27.2,
InkubaLM-0.4B,prompt_5,23.22,22.67,24.56,21.78,22.89,23.11,21.44,22.67,24.22,24.44,23.11,23.78,23,21.89,22.33,21.33,21.67,22.89,22.11,23.22,,,,,,,,,,,,18.3,26.2,30.4,
LLaMAX3-8B,prompt_1,22.89,23.22,22.78,22.89,22.89,22.89,22.67,23,22.89,22.67,22.78,23.11,23,22.89,22.89,22.89,22.89,22.89,22.89,22.89,,,,,,,,,,,,17.1,26.2,30.4,
LLaMAX3-8B,prompt_2,23.11,22.22,22.56,23.11,23.22,23.33,22.44,23.33,23.22,23.56,23.11,23.33,23.33,23.22,22.67,22.89,23.11,22.89,22.44,22.89,,,,,,,,,,,,15.9,26.2,30.9,
LLaMAX3-8B,prompt_3,24.22,24.44,23.56,23.11,25.33,25.22,22.33,23.78,22.89,23.11,23.78,23.44,25.22,22.89,23,23.11,23,23.33,22.22,24,,,,,,,,,,,,18.3,29.8,30.4,
LLaMAX3-8B,prompt_4,22.89,22.89,23.22,22.89,23.22,23.11,22.89,24.78,23.44,23,23,24.33,23.22,22.89,22.78,22.89,23.22,24.89,23,24.56,,,,,,,,,,,,17.1,27.4,30.4,
LLaMAX3-8B,prompt_5,35.44,37.78,37,23.89,31.22,33.56,25.33,30.67,26.78,27.33,33.78,32.22,35.44,23.11,26.89,26.44,25.78,28.44,25,27.44,26.56,30,34.89,34.33,28.11,25,30.11,35,31.44,30.78,29.33,31.7,32.1,31.9,29.7
Llama-2-7b-chat-hf,prompt_1,41,37.89,28.56,23,24.56,23.56,23.33,23.78,23.44,23.44,31.33,23.56,23,23.89,23,23.33,23.33,23.33,23,22.67,,,,,,,,,,,,15.9,26.2,30.4,
Llama-2-7b-chat-hf,prompt_2,24.11,21.89,23.11,22.89,22.89,23.11,22.67,23,22.89,23,23.33,22.89,23.22,22.89,22.78,23,23.22,22.89,23,22.89,,,,,,,,,,,,17.1,26.2,31.4,
Llama-2-7b-chat-hf,prompt_3,42.33,37.33,29.22,22.89,22.67,24,22.89,23.89,23.22,23.22,35.33,22.22,22.67,22.89,22.67,23,23.78,22.89,22.67,23.11,,,,,,,,,,,,19.5,27.4,28.8,
Llama-2-7b-chat-hf,prompt_4,37.22,31.56,27.44,22.89,22.89,23.11,23,23.33,23.33,23.44,34,23,23.67,22.89,23.11,23.89,24.22,22.78,23.22,23.89,24.11,23.33,23.67,24.11,23.67,23.56,23.78,23.44,23.78,24,22.33,20.7,32.1,30.9,24.3
Llama-2-7b-chat-hf,prompt_5,43.56,44.33,35.11,22.44,24.67,24.44,23.56,22.56,23.67,24,42.44,22,24.44,23,24.33,23.11,23.44,21.78,22.44,23.44,,,,,,,,,,,,20.7,28.6,28.8,
Llama-3.1-8B-Instruct,prompt_1,69.78,64.33,54.33,29.11,41.78,46,31.33,33.22,30.78,30.33,59.44,32.56,44.22,29.44,28.33,31,27.33,30.11,29.44,30.33,,,,,,,,,,,,56.1,42.9,36.7,
Llama-3.1-8B-Instruct,prompt_2,26.78,24.33,23.33,22.89,23.33,22.67,22.22,23.22,23.11,26.67,23.44,23.67,25,23.11,23.22,23.11,23.11,23.11,22.33,23.11,,,,,,,,,,,,17.1,26.2,32.5,
Llama-3.1-8B-Instruct,prompt_3,66.56,66.22,60.44,26.89,45.44,51.22,29.78,36.11,31.89,30.33,64.67,32.67,47.11,24.78,27.22,31.22,30.22,30,30.44,29.78,,,,,,,,,,,,54.9,42.9,36.7,
Llama-3.1-8B-Instruct,prompt_4,74.67,71.11,65.78,30.89,49.56,57.44,31,39.22,35.67,33.89,67.22,36.67,53.11,25.22,32.33,33.22,27.44,33.67,31.67,32.44,,,,,,,,,,,,52.4,46.4,39.3,
Llama-3.1-8B-Instruct,prompt_5,80.67,71.44,66.89,33.22,50.78,55,35.44,39.22,36.67,33.89,68.67,37.22,53.22,28.67,32.33,37,30.56,35.11,31.67,35.33,29.44,30.78,45.67,37.44,33.22,32,31.89,38.78,32.89,33.67,32.33,61.0,45.2,38.2,39.5
Meta-Llama-3-70B-Instruct,prompt_1,92,84,76.67,28.89,53.11,62.22,32.33,40.56,36.44,34.78,85.56,37.22,60,28.22,34.56,32.44,28.78,33.22,31.67,34.67,,,,,,,,,,,,53.7,47.6,31.4,
Meta-Llama-3-70B-Instruct,prompt_2,36.56,41.78,32,27,43.33,48.89,24.67,35,27.22,27.33,43.44,27.22,47.67,25,26.11,24.44,25.89,24.56,24.22,25.11,,,,,,,,,,,,31.7,40.5,32.5,
