model,prompt,eng,fra,eng ms,fra ms,aeb,afr,aka,amh,ary,arz,bam,bem,cjk,dik,dyu,ewe,fon,fuv,gaz,hau,ibo,kab,kam,kea,kbp,kik,kin,kmb,knc,kon,lin,lua,lug,luo,mos,nso,nus,nya,plt,por,run,sag,sot,sna,som,ssw,swa,tir,tso,tum,twi,tzm,umb,wol,xho,yor,zul,amh,hau,ibo,lin,lug,orm,pcm,run,sna,som,swa,tir,xho,yor,avg_score
AfroLlama-V1,prompt_1,6.43,6.43,25.7,8.8,5.05,6.43,6.89,6.43,6.43,6.43,6.43,8.46,5.04,5.35,5.33,6.43,7.42,8.4,3.28,6.43,6.43,2.63,4.54,8.67,5.81,5.54,6.43,6.69,5.91,5.51,6.43,7.41,2.82,5.88,6.26,6.72,5.45,6,6.97,12.61,8.2,6.39,6.15,6.43,6.43,8.9,6.43,6.43,6.43,6.48,5.26,3.01,4.1,6.64,6.46,6.43,6.43,2.4,21.2,11.0,17.1,0.5,16.0,19.7,8.4,8.4,28.6,18.1,7.7,6.4,14.4,7.6
AfroLlama-V1,prompt_2,6.43,6.43,19.1,5.2,17.12,6.43,11.56,6.43,6.43,6.43,6.43,12.14,14.94,10,10,6.43,6.43,9.84,10,6.43,6.43,10.97,12.32,17.84,10,11.64,6.43,10.84,10.97,12.12,6.43,15.73,10.58,11.09,10,10.98,10.04,11.87,10.56,17.57,11.01,9.84,11,6.43,6.43,12.62,6.43,6.29,6.43,13.29,10.97,10,12.52,11.94,6.43,6.43,6.43,0.0,10.7,11.0,0.0,0.0,4.6,5.6,1.2,1.4,9.2,9.0,6.6,1.7,3.4,8.8
AfroLlama-V1,prompt_3,6.43,6.46,67.1,64.0,34.51,6.43,29.17,6.43,6.46,6.43,6.43,41.69,33.02,28.48,29.59,6.46,7.26,36.96,21.49,6.43,6.43,20.96,43.59,52.67,25.51,41.41,6.43,37.58,34.64,46.83,6.43,37.1,33.93,34.18,32.44,38.65,17.31,41.15,33.23,65.57,40.4,41.01,39.66,6.43,6.43,57.29,6.43,6.43,6.43,39.52,31.95,10.62,35.91,42.24,6.43,7.42,6.43,17.6,60.1,49.2,65.7,59.2,40.3,68.2,56.2,58.3,46.3,56.1,9.9,50.2,69.1,30.8
AfroLlama-V1,prompt_4,6.43,6.43,18.3,15.2,18.13,6.43,18.47,6.43,6.43,6.43,6.43,20.77,18.74,15.64,19.71,6.46,7.42,20.79,14.02,6.43,6.43,14.02,22.7,25.86,14.58,15.48,6.43,18.41,20.62,21.63,6.43,19.41,19.93,22,16.88,22.56,14.03,20.46,19.83,28.95,22.77,18.28,21.09,6.43,6.46,30.07,6.43,6.46,6.43,20.6,20.88,9.84,17.36,21.27,6.43,6.43,6.43,2.1,18.2,25.4,57.7,44.4,30.8,20.7,29.8,27.1,34.0,21.2,11.0,20.2,27.7,17.3
AfroLlama-V1,prompt_5,6.43,6.43,31.8,21.6,16.1,6.43,28.37,6.43,6.43,6.43,6.43,26.15,19.61,17.5,21.15,6.43,6.43,22.5,11.94,6.43,6.43,13.49,26.12,33.06,22.02,21.44,6.43,23.14,24.3,23.71,6.43,21.15,24.73,26.05,22.47,19.82,18.02,20.68,25.64,51.53,26.9,28.13,18.34,6.43,6.43,33.14,6.43,6.43,6.43,25.47,28.48,9.88,24.69,27.2,6.43,6.43,6.43,8.2,22.3,28.0,53.1,45.7,28.6,23.6,26.4,31.7,34.0,21.2,22.1,18.5,35.3,19.8
InkubaLM-0.4B,prompt_1,3.87,2.93,16.7,11.1,2.11,3.1,3.03,2.99,2.1,2.1,1.95,3.55,6.83,4.81,6.66,3,2.03,6.23,8.83,5.23,3.59,6.1,4.49,2.79,2.1,5.93,4.43,7.11,3.86,5.83,6.26,3.13,2.72,5.17,8.37,5.77,3,3.65,5.32,5.08,3,5.41,5.27,3.42,5.91,4,3.6,4.44,8.15,5.69,2.13,2.1,8.13,5.11,6.18,5.71,2.78,1.9,12.7,19.2,17.1,18.4,18.2,11.2,13.7,10.0,18.7,26.1,2.9,3.0,14.8,6.4
InkubaLM-0.4B,prompt_2,2.11,2.1,14.9,11.9,2.19,2.1,2.1,2.01,2.07,3.86,2.1,2.13,2.14,3.06,3.07,2.13,3.49,2.1,3.87,4.82,2.12,1.95,2.1,2.11,2.1,2.93,2.1,2.1,2.12,2.12,2.1,2.13,2.01,2.11,3.06,2.15,2.1,2.13,3.04,2.1,2.1,3.67,2.77,2.11,3.07,2.11,3.07,2.13,3.57,2.13,2.11,2.1,2.12,2.93,2.1,6.09,2.1,0.0,14.4,21.8,22.9,20.2,28.3,10.2,23.3,23.3,24.2,24.4,3.7,7.7,15.8,5.6
InkubaLM-0.4B,prompt_3,6.22,4.69,14.4,12.8,6.24,2.86,2.73,9.46,4.92,5.92,5.59,6.5,3.56,5.66,6.21,6.42,9.4,3.85,5.69,8.07,8.06,6,4.84,4.3,5.15,5.26,5.72,5.18,6.33,6.18,4.14,4.74,3.59,1.97,4.93,4.48,4.77,6.84,4.22,3.84,5.26,6.26,3.78,7.96,5.73,5.41,5.26,7.44,6.48,6.9,2.53,2.1,10.83,8.12,7.83,7.67,7.71,0.0,15.1,20.0,9.7,18.4,23.7,4.3,18.3,14.4,20.8,23.5,0.4,2.0,15.6,7.3
InkubaLM-0.4B,prompt_4,9.04,3.9,14.6,9.7,4.49,5.29,3.38,8.94,5.42,3.88,3.67,7.51,5.04,6.89,6.84,7.26,11.63,4.54,8.2,5.45,11.69,4.92,5.34,4.76,8.06,8.12,3.74,6.34,4.17,5.73,4.02,5.19,5.78,3.67,5.23,6.42,3.49,6.78,4.09,4.22,4.64,4.83,3.25,8.96,8.47,8.39,7,9.15,6.8,9.31,5.03,2.1,6.52,5.8,8.44,6.39,8.23,0.0,13.5,17.7,8.6,17.0,20.6,5.3,14.0,14.4,21.4,21.0,2.2,1.4,11.4,7.3
InkubaLM-0.4B,prompt_5,3.05,4.36,20.3,13.3,3.98,3.39,4.35,7.28,5.03,4.33,4.03,4.8,4.69,2.79,4.36,4.19,3.41,5.11,4.33,3.51,3.71,2.78,4.78,3.26,4.01,5.05,3.59,2.91,4.06,3.02,3.93,3.21,3.72,2.14,3.69,5.71,5.7,5.62,3.67,3.35,3.86,4.25,4.12,5.42,4.11,5.42,3.77,6.52,5.35,3.7,3.05,2.1,4.13,3.89,6.13,4.44,5.38,0.8,16.6,18.5,9.7,11.7,24.3,17.4,14.3,18.4,21.1,26.3,2.2,7.4,9.3,6.3
