model,prompt,amh,arq,ary,hau,ibo,kin,orm,pcm,som,swa,tir,twi,xho,yor,zul,avg_score
gemma-1.1-7b-it,prompt_1,14.30,16.50,17.80,24.10,12.40,21.90,19.40,18.90,24.40,20.60,11.70,8.80,21.20,18.40,21.60,18.4
gemma-1.1-7b-it,prompt_2,21.70,18.70,9.60,7.20,8.40,14.40,21.00,9.30,8.60,13.00,24.70,11.40,10.40,9.50,8.30,12.5
gemma-1.1-7b-it,prompt_3,29.00,24.10,25.30,30.30,14.20,23.10,32.30,19.30,25.90,28.30,27.90,14.00,22.70,21.40,22.80,23.7
gemma-1.1-7b-it,prompt_4,23.00,27.40,24.50,26.00,16.70,29.90,27.90,30.20,27.20,27.40,17.30,14.20,23.30,25.00,22.50,24.3
gemma-1.1-7b-it,prompt_5,20.80,17.10,9.50,7.20,9.10,14.10,20.80,7.30,8.30,10.70,24.40,9.00,9.50,10.10,8.30,11.8
Llama-2-7b-chat-hf,prompt_1,20.80,15.80,8.50,6.00,7.70,14.10,20.80,6.70,8.10,10.50,24.40,8.40,9.20,7.70,8.30,11.2
Llama-2-7b-chat-hf,prompt_2,26.50,22.70,18.40,12.30,14.90,18.90,25.20,14.80,16.10,18.10,30.30,14.20,11.30,14.20,9.70,17.2
Llama-2-7b-chat-hf,prompt_3,14.50,22.40,22.20,24.40,20.20,22.40,31.30,9.40,27.10,24.80,11.70,15.80,24.80,23.10,26.80,21.9
Llama-2-7b-chat-hf,prompt_4,31.60,15.60,12.60,8.30,10.60,14.60,21.80,9.60,10.80,11.50,30.60,11.30,10.80,12.00,9.20,13.5
Llama-2-7b-chat-hf,prompt_5,19.70,25.60,23.50,23.20,13.00,19.20,22.80,11.50,11.30,12.10,21.40,15.10,22.70,11.80,24.00,18.4
Meta-Llama-3-8B-Instruct,prompt_1,26.50,31.80,28.50,24.50,19.70,36.50,37.10,38.80,17.80,34.30,28.40,14.40,25.00,25.90,28.40,27.9
Meta-Llama-3-8B-Instruct,prompt_2,14.30,17.90,18.50,24.10,12.90,21.90,19.40,22.20,24.40,20.90,11.70,8.80,21.00,19.70,21.60,18.9
Meta-Llama-3-8B-Instruct,prompt_3,14.50,16.50,17.90,24.10,12.30,21.90,19.40,18.90,24.40,21.10,11.80,8.80,21.20,18.40,21.60,18.5
Meta-Llama-3-8B-Instruct,prompt_4,31.70,30.30,28.60,28.20,16.20,40.40,34.20,32.30,27.60,22.00,30.00,10.00,21.40,20.20,23.60,26.1
Meta-Llama-3-8B-Instruct,prompt_5,14.30,16.50,17.80,24.10,12.40,21.90,19.40,18.90,24.40,20.60,11.70,8.80,21.20,18.40,21.60,18.4
LLaMAX3-8B-Alpaca,prompt_1,23.80,32.70,23.80,16.60,13.70,18.60,25.70,28.70,16.10,33.90,24.40,18.30,16.70,14.70,19.00,21.6
LLaMAX3-8B-Alpaca,prompt_2,37.30,33.20,28.00,29.40,19.00,39.50,33.70,36.30,34.10,29.00,28.20,11.50,11.50,23.10,25.60,27.3
LLaMAX3-8B-Alpaca,prompt_3,20.80,20.60,22.50,13.30,10.80,18.60,23.90,19.80,13.20,29.40,24.40,13.30,10.80,15.60,11.00,17.7
LLaMAX3-8B-Alpaca,prompt_4,37.20,33.60,31.50,30.70,19.40,38.20,38.20,34.40,27.60,28.90,27.40,13.90,23.70,24.40,29.00,28.6
LLaMAX3-8B-Alpaca,prompt_5,14.30,16.50,17.80,24.10,12.40,21.90,19.40,18.90,24.40,20.60,11.70,8.80,21.20,18.40,21.60,18.4
Llama-3.1-8B-Instruct,prompt_1,20.60,16.50,17.80,24.10,12.40,21.90,19.40,18.90,24.40,20.60,13.90,8.80,21.10,18.40,21.60,18.6
Llama-3.1-8B-Instruct,prompt_2,14.30,16.50,17.80,24.10,12.40,21.90,19.40,18.90,24.40,20.60,11.70,8.80,21.20,18.40,21.60,18.4
Llama-3.1-8B-Instruct,prompt_3,14.30,16.50,17.80,24.10,12.40,21.90,18.90,18.90,24.40,20.60,11.70,8.80,21.20,18.40,21.60,18.4
Llama-3.1-8B-Instruct,prompt_4,23.30,30.70,22.90,25.40,13.90,31.90,35.70,24.90,26.70,21.70,21.90,9.90,22.40,19.40,23.30,23.6
Llama-3.1-8B-Instruct,prompt_5,14.30,16.50,17.80,24.10,12.40,21.90,19.40,18.90,24.40,20.60,11.70,8.80,21.20,18.40,21.60,18.4
AfroLlama-V1,prompt_1,23.90,21.80,11.00,13.30,11.70,24.50,22.80,8.10,9.90,11.80,27.90,12.10,15.50,12.10,13.50,15.4
AfroLlama-V1,prompt_2,21.10,15.80,11.10,6.30,8.10,14.10,21.00,8.40,8.10,11.60,24.80,8.20,9.20,8.20,8.50,11.7
AfroLlama-V1,prompt_3,21.20,18.30,10.40,8.30,8.90,15.30,22.10,7.00,12.30,10.90,24.70,8.40,9.40,9.90,8.90,12.5
AfroLlama-V1,prompt_4,20.30,22.80,18.70,13.30,11.30,22.30,24.60,7.20,18.10,12.00,16.60,11.70,15.20,17.00,13.00,16.0
AfroLlama-V1,prompt_5,14.30,16.50,17.80,24.10,12.40,21.90,19.40,18.90,24.40,20.60,11.70,8.80,21.20,18.40,21.60,18.4
gemma-2-9b-it,prompt_1,33.20,33.80,33.20,24.10,25.10,33.60,26.70,54.90,13.60,46.40,26.80,29.10,20.00,30.50,20.10,29.9
gemma-2-9b-it,prompt_2,30.30,32.10,28.40,17.50,15.70,26.20,24.70,29.40,11.60,36.00,26.80,26.80,13.00,25.40,13.80,23.4
gemma-2-9b-it,prompt_3,25.10,28.20,24.10,10.80,10.90,18.90,22.00,14.10,9.60,28.20,24.80,13.60,10.60,15.30,9.70,17.2
gemma-2-9b-it,prompt_4,27.70,28.30,25.70,13.10,13.40,23.70,24.20,17.90,11.00,30.50,24.80,15.80,12.00,25.50,10.00,19.7
gemma-2-9b-it,prompt_5,20.80,19.40,15.90,6.90,9.90,18.00,21.10,7.40,8.80,19.50,24.40,12.20,11.40,11.60,9.00,14.0
aya-101,prompt_1,39.30,33.60,29.90,34.30,20.90,37.90,34.80,36.90,38.30,35.70,36.80,13.20,26.40,27.10,28.70,31.0
aya-101,prompt_2,35.60,31.40,29.30,32.80,21.80,36.30,29.90,36.40,32.30,35.90,33.00,12.50,25.80,25.40,28.90,29.4
aya-101,prompt_3,24.20,33.10,30.30,35.10,24.80,28.00,23.00,39.40,32.30,45.10,20.80,11.30,30.00,27.60,34.10,29.6
aya-101,prompt_4,31.30,32.10,28.90,33.30,22.10,32.80,26.80,37.80,35.80,41.30,29.60,13.80,28.70,26.80,29.80,30.0
aya-101,prompt_5,19.50,20.00,23.00,28.50,13.90,28.80,25.80,32.00,30.80,25.40,13.80,10.60,21.90,20.90,24.40,22.8
gemma-2-27b-it,prompt_1,38.10,34.60,36.20,26.70,33.20,39.40,29.30,56.10,22.20,64.50,28.20,35.40,26.20,48.20,23.80,36.0
gemma-2-27b-it,prompt_2,38.30,35.40,29.90,23.20,22.10,32.40,36.20,37.00,24.90,40.20,30.50,17.80,20.50,31.70,23.20,28.9
gemma-2-27b-it,prompt_3,46.20,54.00,53.80,31.10,34.00,42.80,27.00,56.50,34.40,59.30,26.60,32.80,25.60,44.30,26.60,39.2
gemma-2-27b-it,prompt_4,48.40,49.10,53.80,34.80,42.80,52.70,39.80,60.90,39.60,70.90,35.40,38.10,30.60,54.00,35.00,45.5
gemma-2-27b-it,prompt_5,37.90,33.10,31.90,29.00,24.70,43.10,35.00,38.40,34.40,37.80,33.50,14.60,25.30,29.10,31.50,31.5
Meta-Llama-3.1-70B-Instruct,prompt_1,42.30,62.30,56.60,43.10,45.70,47.20,38.90,63.80,33.00,72.30,32.00,34.00,35.60,53.80,47.90,47.6
Meta-Llama-3.1-70B-Instruct,prompt_2,15.40,22.30,21.40,24.20,13.40,22.20,19.40,34.60,24.40,24.70,11.80,9.40,21.20,23.10,25.30,21.2
Meta-Llama-3.1-70B-Instruct,prompt_3,56.70,58.60,56.80,45.60,42.70,50.40,35.40,63.60,34.10,62.40,38.90,37.60,34.20,51.70,36.40,46.3
Meta-Llama-3.1-70B-Instruct,prompt_4,53.00,57.00,60.60,41.20,48.40,50.90,44.60,62.40,39.80,67.00,41.00,37.90,32.70,56.20,46.30,49.0
Meta-Llama-3.1-70B-Instruct,prompt_5,14.30,16.50,17.80,24.10,12.40,21.90,19.40,18.90,24.40,20.60,11.70,8.80,21.20,18.40,21.60,18.4
gemini-1.5-pro-002,prompt_1,56.09,70.59,68.24,61.39,66.87,64.15,57.58,65.03,60.81,80.46,37.52,50.64,57.96,73.14,55.36,62.1
gemini-1.5-pro-002,prompt_2,43.37,44.27,38.05,47.95,20.58,49.58,54.41,44.26,52.21,48.39,32.68,13.75,27.57,39.38,30.22,38.8
gemini-1.5-pro-002,prompt_3,67.20,64.40,70.53,57.96,66.38,65.83,62.06,65.54,53.29,76.58,54.77,54.94,50.56,72.47,51.65,61.9
gemini-1.5-pro-002,prompt_4,54.08,67.49,67.81,61.20,66.02,62.32,57.44,65.22,57.99,79.39,35.56,52.51,55.23,73.20,52.82,61.0
gemini-1.5-pro-002,prompt_5,42.30,31.27,19.03,16.21,15.35,28.29,49.41,14.50,21.48,25.32,48.56,13.61,16.72,15.81,17.10,23.8
gpt-4o-2024-08-06,prompt_1,56.76,66.56,72.39,59.49,68.09,60.50,57.05,65.35,65.91,77.87,43.79,49.00,66.08,74.85,59.62,63.3
gpt-4o-2024-08-06,prompt_2,38.96,34.98,36.77,39.94,18.76,43.56,49.14,39.86,48.99,41.48,26.80,13.61,32.15,36.63,27.06,35.0
gpt-4o-2024-08-06,prompt_3,60.11,65.02,72.82,59.20,68.45,62.18,59.29,64.85,66.85,76.04,48.10,47.28,64.15,73.26,58.38,63.3
gpt-4o-2024-08-06,prompt_4,55.96,69.66,75.54,59.20,69.67,60.08,53.49,65.22,68.46,77.97,42.35,51.15,63.67,74.48,58.65,63.5
gpt-4o-2024-08-06,prompt_5,45.52,30.65,14.59,9.82,13.03,26.89,45.45,11.11,13.83,18.88,57.65,14.33,16.08,13.19,14.15,21.4
