model,prompt,amh,arq,ary,hau,ibo,kin,orm,pcm,por,swa,tir,tso,twi,yor,avg_score
AfroLlama-V1,prompt_1,66.58,48.12,29.96,33.21,26.32,34.5,34.64,55.97,17.91,11.9,47.65,38.98,37.09,22.24,36.1
AfroLlama-V1,prompt_2,52.53,48.64,32.15,33.81,25.88,34.5,32.87,55.92,17.83,14.97,43.7,36.61,37.09,24.16,35.0
AfroLlama-V1,prompt_3,11.31,16.91,33.67,45.07,44.11,41.13,41.98,22.65,65.21,58.02,19.25,19.69,18.02,39.98,34.1
AfroLlama-V1,prompt_4,14.81,28.81,37.32,45.46,36.39,42.98,41.84,41.26,58.55,54.81,20.5,24.02,26.03,41.86,36.8
AfroLlama-V1,prompt_5,11.81,19.42,33.64,47.11,44.43,40.94,41.51,15.67,63.3,61.5,19.2,21.26,16.54,43.74,34.3
InkubaLM-0.4B,prompt_1,57.33,27.97,36.81,28.74,32.27,31.29,35.07,32.69,32.91,38.37,44,38.98,39.3,39.36,36.8
InkubaLM-0.4B,prompt_2,60.03,22.76,37.15,28.74,34.41,33.14,36.69,33.73,30.99,40.64,44.85,33.07,38.78,38.07,36.6
InkubaLM-0.4B,prompt_3,56.38,42.07,35.26,31.79,36.69,35.09,32.35,30.43,23.95,21.39,45.05,37.4,29.4,33.13,35.0
InkubaLM-0.4B,prompt_4,43.42,17.12,32.89,33.4,42.12,37.72,40.6,11.82,52.62,54.14,34.5,20.87,18.76,33.29,33.8
InkubaLM-0.4B,prompt_5,35.97,17.64,32.62,32.28,38.76,36.84,42.18,21.16,48.69,49.6,22.85,22.44,22.44,28.79,32.3
LLaMAX3-8B-Alpaca,prompt_1,21.91,34.34,38.64,33.09,30.36,27.1,22.04,33.56,17.15,29.95,32.15,47.64,47.42,42.5,32.7
LLaMAX3-8B-Alpaca,prompt_2,21.91,34.34,38.64,33.09,30.34,27.1,22.19,32.98,17.15,30.35,32.1,47.64,47.42,42.61,32.7
LLaMAX3-8B-Alpaca,prompt_3,55.23,55.53,51,61.7,54.59,53.22,33.64,56.02,41.29,54.14,43.5,48.03,38.99,50.39,49.8
LLaMAX3-8B-Alpaca,prompt_4,46.87,51.98,47.75,60.32,53.64,48.64,32.87,53.03,39.68,56.28,38.5,44.49,36.46,47.75,47.0
LLaMAX3-8B-Alpaca,prompt_5,53.18,53.97,47.08,60.17,56.14,51.95,36.02,46.75,38.37,57.09,39.45,44.88,34.98,50.14,47.9
Llama-2-7b-chat-hf,prompt_1,11.21,16.18,32.46,30.79,38.67,37.04,42.41,19.4,62.86,59.09,19.35,18.11,30.45,37.67,32.5
Llama-2-7b-chat-hf,prompt_2,11.21,15.76,31.37,30.91,37.72,36.26,41.17,15.45,51.26,56.42,19.35,35.04,41.83,41.62,33.2
Llama-2-7b-chat-hf,prompt_3,11.21,16.18,32.62,33.75,44.05,38.3,42.13,10.42,64.23,57.49,19.35,16.93,15.49,35.81,31.3
Llama-2-7b-chat-hf,prompt_4,12.66,26.83,35.6,34.15,44.6,39.08,42.56,15.09,64.69,59.36,20.05,18.5,16.33,36.01,33.3
Llama-2-7b-chat-hf,prompt_5,25.51,44.89,43.97,38.15,33.62,35.38,24.67,60.78,31.24,33.82,33.45,46.06,48.89,43.72,38.9
Llama-3.1-70B-Instruct,prompt_1,21.91,34.34,38.64,33.09,30.36,27.1,22.04,33.63,17.15,29.95,32.15,47.64,47.42,42.48,32.7
Llama-3.1-70B-Instruct,prompt_2,21.91,34.34,38.64,33.09,30.36,27.1,22.04,33.63,17.15,29.95,32.15,47.64,47.42,42.48,32.7
Llama-3.1-70B-Instruct,prompt_3,24.01,32.25,49.07,48.71,59.72,49.42,43.46,50.41,48.94,58.16,20.65,38.58,32.88,43.68,42.9
Llama-3.1-70B-Instruct,prompt_4,56.98,48.23,50.83,43.3,50.87,51.27,42.46,47.52,40.74,62.57,39.55,37.4,33.72,45.36,46.5
Llama-3.1-70B-Instruct,prompt_5,39.97,47.49,53.53,52.61,52.17,48.54,41.36,52.6,35.85,61.5,28.15,43.31,45.84,54.33,46.9
Llama-3.1-8B-Instruct,prompt_1,21.91,34.34,38.64,33.09,30.36,27.1,22.04,33.63,17.15,29.95,32.15,47.64,47.42,42.48,32.7
Llama-3.1-8B-Instruct,prompt_2,21.91,34.34,38.64,33.09,30.36,27.1,22.04,33.03,17.15,29.95,32.15,47.64,47.42,42.48,32.7
Llama-3.1-8B-Instruct,prompt_3,18.06,41.75,41.27,38.9,46.12,41.72,41.08,58.55,38.89,57.22,21.4,44.88,32.67,40.55,40.2
Llama-3.1-8B-Instruct,prompt_4,59.43,47.29,45.02,45.79,46.66,45.32,38.41,53.78,41.07,48.8,42.5,36.61,35.41,41.46,44.8
Llama-3.1-8B-Instruct,prompt_5,66.43,57.1,51.91,55.38,50.11,48.73,35.93,64.18,33.59,54.28,49.75,48.82,42.26,50.94,50.7
