model,prompt,fra_Latn,aeb_Arab,afr_Latn,aka_Latn,amh_Ethi,ary_Arab,arz_Arab,bam_Latn,bem_Latn,cjk_Latn,dik_Latn,dyu_Latn,ewe_Latn,fon_Latn,fuv_Latn,gaz_Latn,hau_Latn,ibo_Latn,kab_Latn,kam_Latn,kbp_Latn,kea_Latn,kik_Latn,kin_Latn,kmb_Latn,knc_Arab,knc_Latn,kon_Latn,lin_Latn,lua_Latn,lug_Latn,luo_Latn,mos_Latn,nso_Latn,nus_Latn,nya_Latn,plt_Latn,run_Latn,sag_Latn,sna_Latn,som_Latn,sot_Latn,ssw_Latn,swh_Latn,taq_Latn,taq_Tfng,tir_Ethi,tsn_Latn,tso_Latn,tum_Latn,twi_Latn,tzm_Tfng,umb_Latn,wol_Latn,xho_Latn,yor_Latn,zul_Latn,avg_score
AfroLlama-V1,prompt_1,14,6.05,21.09,8.37,5.25,7.38,7.96,8.89,10.49,8.8,13.01,8.59,8.21,7.03,12.87,8.6,8.79,6.1,7.12,8.61,8.17,12.4,9.55,12.79,9.16,7.57,13.58,10.61,9.93,11.94,11.57,9.18,9.18,15.01,7.98,11.17,14.89,10.8,7.97,10.81,7.26,15.41,11.79,13.16,9.63,6.49,4.56,11.3,10.31,9.38,9.49,6.92,9.59,7.43,12.16,7.8,18.31,10.0
AfroLlama-V1,prompt_2,11.16,5.59,8.34,7.22,6,6.04,5.98,5.93,7.28,6.63,6.82,6.22,5.71,5.89,6.53,5.53,8.71,5.74,4.84,6.23,6.11,7.25,6.52,5.64,6.03,6.12,8.79,6.53,7.75,6.95,5.46,5.93,6,6.71,7.18,7.46,7.94,6.19,6.07,6.35,5.27,6.43,7.69,10.13,5.83,6.61,5.32,7.21,6.39,6.56,7.22,8.95,5.83,5.31,9.47,7.03,10.34,6.7
AfroLlama-V1,prompt_3,11.87,6.21,8.92,9.26,5.32,7.72,7.9,8.09,8.41,6.88,11.24,6.61,8.82,8.23,9.46,7.25,8.83,6.91,6.56,7.42,7.06,8.09,7.44,6.22,7.65,7.14,11.86,7.9,7.21,9.44,6.87,7.81,7.8,11,8.55,9.09,10.56,7.26,6.7,6.84,5.66,10.72,8.3,10.13,7.71,7.51,9.55,10.8,6.54,7.84,10.6,8.7,6.64,6.26,9.77,7.12,10.61,8.2
InkubaLM-0.4B,prompt_1,1.26,0.17,1.65,0.79,0,0.21,0.16,0.41,1.21,1.15,0.5,0.91,0.45,1.13,0.73,1.02,0.74,0.35,1.13,0.59,0.37,1.17,0.09,0.86,1.45,0.14,0.95,1.4,1.09,1.14,1.12,1.06,1.27,1.17,0.12,1.37,1.15,1.27,0.82,1,0.9,1.16,0.8,1.13,0.91,0.32,0,0.82,0.76,0.87,1.08,0.2,0.92,0.5,0.84,0.5,1.15,0.8
InkubaLM-0.4B,prompt_2,1.13,1.13,0.79,2.27,0,0.95,1.07,1.53,0.88,0.45,1.12,0.9,0.9,2.43,0.92,0.83,0.49,0.43,0.88,0.43,1.09,0.65,0.06,0.36,0.7,0.41,0.95,0.41,0.32,0.61,0.56,0.83,1.63,0.51,0.71,0.45,0.33,0.59,1.25,0.63,0.86,1.18,0.83,0.48,0.72,0.74,0,0.45,0.51,0.67,2.25,0.39,0.28,0.7,0.46,0.38,0.48,0.8
InkubaLM-0.4B,prompt_3,0.85,0.99,1.38,2.73,0,0.82,1.07,1.24,1.3,0.66,1.78,1.14,1.22,2.6,1.19,0.86,0.54,0.53,0.92,0.52,1.26,0.85,0.21,0.67,0.98,0.39,0.92,0.4,0.53,0.77,0.68,1.37,1.98,0.96,0.59,0.55,0.48,1.02,1.21,0.55,0.99,1.71,0.46,0.46,0.77,0.67,0,0.6,0.49,0.81,2.34,0.32,0.38,0.82,0.41,0.27,0.46,0.9
LLaMAX3-8B-Alpaca,prompt_1,66.84,50.84,72.61,27.45,45.67,46.98,54.02,23.83,28.17,23.48,23.44,23.84,23.94,21.82,24.97,27.28,48.77,43.2,21.2,24.95,24.02,44.18,25.99,38.5,24.06,16.25,23.9,27.6,33.34,25.72,31.64,22.87,22.35,31.18,21.39,43,41.26,32.38,25.2,44.07,44.54,31.83,34.31,59.67,24.82,14.59,26.82,30.59,27.27,32.3,28.38,19.54,24.12,28.54,48.78,32.97,49.29,32.4
LLaMAX3-8B-Alpaca,prompt_2,66.91,52.14,73.79,27.62,47.91,48.58,54.61,23.01,29.28,24.48,22.79,22.78,23.79,21.56,24.38,28.25,50.63,44.74,21.14,25.86,23.69,48.19,26.3,41.31,24.3,16.63,24.48,28.66,34.43,26.8,33.07,23.62,22.41,35.2,19.63,44.46,45.53,34.32,24.99,44.95,46.83,35.83,36.15,60.89,24.28,16.02,28.51,33.36,28.3,34.27,29.05,17.21,23.92,30.68,50.46,34.55,51.6,33.4
LLaMAX3-8B-Alpaca,prompt_3,66.97,52.28,73.89,27.91,47.83,48.67,54.57,23.76,29.25,25.01,23.15,23.14,24.04,22.21,24.93,27.73,50.76,44.68,21.26,25.56,23.66,48.46,25.9,41.72,24.75,16.6,24.71,27.92,34.5,27.15,33.25,24.12,22.27,35.28,20.72,44.58,44.98,34.19,24.64,44.99,46.95,36.1,36.19,60.86,24.2,16.88,28.05,32.82,28.03,34.29,28.97,17.54,23.97,31.28,50.48,34.53,51.82,33.5
Llama-2-7b-chat-hf,prompt_1,60.51,30.81,52.3,10.87,18.78,23.87,30.82,13.22,11.43,13.44,7.94,16.21,20.05,15.59,13.05,9.77,7.61,10.83,10.7,12.81,6.04,18.05,9.23,5.78,5.67,10.38,3.8,7.82,6.74,7.68,5.97,18.23,12.6,10.71,12.37,6.33,3.31,10.17,13.08,4.02,9.08,9.91,20.3,12.88,15.12,3.73,18.6,7.32,10.05,7.21,19.4,2.37,3.49,12.11,6.4,7.45,13.88,12.3
