model,prompt,eng,amh,ewe,hau,ibo,kin,lin,lug,orm,sna,sot,swa,twi,wol,xho,yor,zul,avg_score
AfroLlama-V1,prompt_1,10.11,0.19,0.12,1.89,0.27,0.42,0.42,0.13,0.13,0.18,0.13,4.21,0.12,0.13,1.75,2.23,1.04,0.8
AfroLlama-V1,prompt_2,3.08,0.12,0.12,0.81,0.4,0.11,0.12,0.12,0.26,0.12,0.12,0.85,0.12,0.39,0.62,0.42,0.12,0.3
AfroLlama-V1,prompt_3,3.2,0.12,0.12,0.84,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.2
AfroLlama-V1,prompt_4,1.84,0.12,0.12,0.42,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.1
AfroLlama-V1,prompt_5,0.74,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.1
InkubaLM-0.4B,prompt_1,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.32,0.12,0.12,0.1,0.12,0.1
InkubaLM-0.4B,prompt_2,0.21,0.19,0.21,0.34,0.22,0.4,0.33,0.25,0.42,0.27,0.32,0.32,0.24,0.14,0.26,0.24,0.24,0.3
InkubaLM-0.4B,prompt_3,0.1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.1
InkubaLM-0.4B,prompt_4,0.36,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.1
InkubaLM-0.4B,prompt_5,0.24,0.29,0.4,0.24,0.41,0.21,0.31,0.26,0.34,0.24,0.24,0.27,0.88,0.4,0.28,0.1,0.3,0.3
LLaMAX3-8B-Alpaca,prompt_1,43.85,5.4,0.16,1.68,4.75,0.65,2.27,0.29,0.12,3.18,1.88,9.72,0.51,0.54,5.6,1.87,6.67,2.8
LLaMAX3-8B-Alpaca,prompt_2,41.71,2.07,0.22,1.43,1.8,1.21,0.92,1.31,0.12,1.36,1.13,8.57,0.58,0.4,4.85,0.71,4.42,1.9
