model,prompt,amh,hau,ibo,kin,lug,luo,nya,pcm,sna,swa,tsn,twi,xho,yor,zul,bam,bbj,ewe,fon,mos,wol,avg_score
AfroLlama-V1,prompt_1,0.33,14.53,4.88,13.23,9.08,11.08,15.26,10.77,12.92,15.86,10.47,9.55,17.38,9.49,17.31,7.98,2.92,7.68,5.42,6.50,8.67,10.06
AfroLlama-V1,prompt_2,0.31,12.51,4.35,11.47,7.46,9.74,13.61,10.29,10.94,13.20,8.76,9.20,14.79,8.24,15.03,6.76,2.72,6.37,4.72,5.56,7.08,8.72
AfroLlama-V1,prompt_3,0.31,12.52,5.44,12.64,8.59,11.08,13.67,12.72,12.65,12.09,10.42,9.80,14.21,6.87,12.95,7.67,2.86,8.03,5.02,6.17,8.43,9.24
LLaMAX3-8B-Alpaca,prompt_1,9.53,29.29,27.32,25.38,24.94,19.12,32.86,27.86,29.28,37.00,24.56,19.92,29.66,15.28,30.28,13.80,9.74,19.04,10.23,13.29,16.43,22.13
LLaMAX3-8B-Alpaca,prompt_2,11.58,31.77,30.05,27.78,26.20,18.98,34.90,26.60,31.80,42.08,26.13,19.60,30.88,15.98,31.74,14.99,6.28,17.04,8.45,12.49,17.51,22.99
LLaMAX3-8B-Alpaca,prompt_3,1.52,17.82,15.05,18.34,18.57,16.66,20.57,23.80,19.12,21.47,18.80,15.65,19.14,9.25,19.91,12.30,7.47,14.85,8.85,12.39,13.97,15.50
Llama-2-7b-chat-hf,prompt_1,2.66,13.43,10.75,15.80,15.35,16.26,19.34,28.57,16.81,15.80,16.30,14.93,15.08,7.47,16.33,11.93,5.69,14.80,7.93,11.31,13.28,13.80
Llama-2-7b-chat-hf,prompt_2,4.66,16.31,14.43,18.81,17.33,18.49,20.86,36.69,19.16,20.56,19.00,17.39,19.08,10.89,19.68,13.51,6.02,15.61,8.15,11.68,14.37,16.32
Llama-2-7b-chat-hf,prompt_3,1.67,12.77,10.96,15.27,15.24,14.57,15.33,24.66,15.73,15.52,16.34,15.09,15.76,7.87,16.10,12.38,6.29,15.81,8.12,11.06,13.13,13.32
aya-101,prompt_1,19.94,35.48,40.59,37.34,19.24,8.43,42.49,21.71,35.59,53.51,24.73,22.62,45.73,18.77,43.19,9.01,8.93,12.87,8.82,8.01,6.40,24.92
aya-101,prompt_2,20.56,35.85,40.97,39.40,16.57,7.43,43.09,13.94,36.35,53.71,28.11,22.46,45.48,20.48,43.26,7.86,6.74,11.91,7.61,7.40,6.03,24.53
aya-101,prompt_3,11.07,24.65,30.09,31.55,22.94,15.91,40.81,49.92,22.63,43.05,26.32,21.63,32.73,17.21,40.12,12.86,11.45,13.31,11.68,13.75,7.97,23.89
gemma-1.1-7b-it,prompt_1,3.82,22.35,22.70,24.53,23.51,20.69,24.70,43.85,23.36,39.20,24.04,22.61,21.25,14.85,24.74,13.84,8.19,16.76,9.81,12.87,16.45,20.67
gemma-1.1-7b-it,prompt_2,2.78,23.10,20.99,23.92,22.03,17.19,21.41,42.27,22.34,34.23,24.03,22.86,22.23,14.34,24.90,14.28,4.63,18.20,7.82,12.83,16.11,19.64
gemma-1.1-7b-it,prompt_3,2.76,24.78,19.27,24.54,24.32,20.84,24.96,40.07,25.65,31.79,25.19,22.80,21.68,13.50,23.64,14.53,7.03,18.91,9.66,13.25,16.85,20.29
Llama-3.1-70B-Instruct,prompt_1,9.30,27.39,19.48,25.90,21.49,15.95,20.40,45.06,22.10,39.09,26.99,22.41,20.15,13.80,22.88,11.36,6.19,14.64,7.29,8.96,13.31,19.72
