model,prompt,amh,bam,bbj,ewe,fon,hau,ibo,kin,lug,luo,mos,nya,pcm,sna,swa,tsn,twi,wol,xho,yor,zul,avg_score
AfroLlama-V1,prompt_1,8.37,9.41,6.86,9.42,10.42,8.92,7.25,14.53,10.26,12.66,9.74,14.69,13.42,12.42,10.32,11.33,13.05,10.26,10.79,10.54,10.97,10.74
AfroLlama-V1,prompt_2,6.79,7.99,5.85,8.65,9.81,10.43,6.63,14.45,9.30,11.79,8.59,15.48,16.19,11.89,11.99,9.79,12.52,9.01,13.25,11.96,13.41,10.75
AfroLlama-V1,prompt_3,8.89,9.66,7.07,10.59,10.98,9.42,8.16,14.68,10.80,12.98,9.78,14.91,13.31,12.62,10.86,11.40,13.77,10.35,11.02,10.39,11.13,11.08
LLaMAX3-8B-Alpaca,prompt_1,30.36,16.90,12.44,20.85,16.87,34.58,34.18,37.94,35.32,23.28,14.31,38.54,58.74,41.05,49.55,31.77,26.44,20.61,46.47,32.59,43.80,31.74
LLaMAX3-8B-Alpaca,prompt_2,31.23,19.88,15.39,23.34,20.37,34.20,32.72,39.69,35.65,24.61,19.69,39.27,58.00,41.34,51.10,31.76,28.05,22.65,46.32,32.77,43.62,32.94
LLaMAX3-8B-Alpaca,prompt_3,22.66,15.99,12.87,20.35,13.41,23.40,19.63,24.54,24.27,22.08,16.39,23.65,41.86,26.76,30.61,22.62,25.85,16.92,23.33,22.69,26.26,22.67
Llama-2-7b-chat-hf,prompt_1,12.99,14.69,12.36,16.73,17.15,18.87,16.02,22.37,19.11,20.66,15.57,23.68,39.75,19.78,21.93,19.44,22.99,15.87,19.47,19.30,19.97,19.46
Llama-2-7b-chat-hf,prompt_2,17.31,17.37,14.95,20.46,19.13,20.66,20.12,24.21,21.15,21.58,18.11,25.40,47.94,21.81,24.65,21.37,24.92,18.47,21.90,22.19,23.71,22.26
Llama-2-7b-chat-hf,prompt_3,15.96,15.43,14.16,18.84,16.50,18.71,17.46,22.50,21.52,21.33,16.28,21.92,32.84,20.66,21.74,21.12,22.25,15.90,19.79,19.76,20.41,19.76
aya-101,prompt_1,36.56,23.92,16.94,32.65,18.65,23.49,44.70,53.97,44.94,17.28,17.41,34.49,59.40,47.84,57.36,44.32,16.19,17.12,57.04,31.22,54.64,35.72
aya-101,prompt_2,38.65,24.36,17.02,33.02,19.58,38.69,44.70,53.73,44.51,27.14,18.69,47.61,64.42,50.22,57.77,51.77,36.85,18.51,59.90,39.96,55.17,40.11
aya-101,prompt_3,3.10,7.34,11.67,24.69,17.32,14.69,21.51,26.52,43.19,9.94,6.19,22.05,47.76,30.01,25.60,22.68,15.64,6.18,24.33,27.31,23.81,20.55
gemma-1.1-7b-it,prompt_1,21.72,20.29,16.99,25.40,19.66,27.30,30.32,30.48,29.96,24.92,18.01,30.14,58.69,29.77,46.34,28.76,29.53,21.39,31.21,27.27,31.53,28.56
gemma-1.1-7b-it,prompt_2,18.59,16.52,15.75,20.51,16.52,22.59,22.01,25.74,23.65,25.09,16.80,26.23,47.25,24.52,36.16,22.43,24.08,18.71,25.26,24.20,26.10,23.75
gemma-1.1-7b-it,prompt_3,19.10,20.27,16.31,25.60,18.99,26.60,25.33,29.56,27.29,24.63,20.40,29.03,50.24,27.50,39.01,27.79,28.57,21.23,28.73,25.72,29.83,26.75
Llama-3.1-70B-Instruct,prompt_1,25.61,19.31,14.96,23.98,20.79,33.97,31.35,40.28,32.32,23.64,18.42,33.41,55.31,28.98,46.77,33.99,30.56,21.10,33.63,29.70,33.97,30.10
Llama-3.1-70B-Instruct,prompt_2,30.53,19.99,16.59,28.13,21.43,34.92,40.12,44.13,38.55,26.51,19.62,35.93,60.29,32.16,55.34,39.15,33.68,21.80,38.48,34.80,39.16,33.87
Llama-3.1-70B-Instruct,prompt_3,23.23,17.57,13.41,21.27,18.07,31.25,28.03,35.81,28.28,20.31,16.47,28.78,53.92,23.57,44.96,29.63,28.32,19.72,27.32,26.51,27.78,26.87
Meta-Llama-3-8B-Instruct,prompt_1,21.14,16.38,11.59,18.54,18.35,28.70,26.75,32.33,28.69,22.66,14.50,29.30,48.95,25.66,39.83,26.65,29.60,17.01,27.44,27.14,27.00,25.63
Meta-Llama-3-8B-Instruct,prompt_2,21.95,17.26,13.30,23.69,18.41,29.64,30.92,33.19,30.43,20.61,17.62,28.98,51.94,24.41,48.10,27.65,29.81,19.05,26.77,27.81,26.99,27.07
Meta-Llama-3-8B-Instruct,prompt_3,15.82,15.32,11.22,17.44,16.68,25.83,21.06,27.74,22.59,16.62,14.74,24.15,41.58,19.98,37.09,21.41,24.16,16.24,21.41,21.61,20.20,21.57
gemma-2-27b-it,prompt_1,31.27,21.34,17.90,29.07,21.27,37.31,40.07,45.14,38.41,27.87,20.80,40.54,57.64,40.84,54.66,42.57,35.37,23.15,47.62,35.32,44.38,35.84
gemma-2-27b-it,prompt_2,31.69,18.06,14.32,25.69,19.31,38.00,37.36,47.00,38.27,24.03,17.62,41.49,59.38,40.19,55.61,43.48,35.13,21.32,48.16,34.13,44.56,34.99
gemma-2-27b-it,prompt_3,30.08,17.16,12.82,23.45,16.87,36.53,36.49,45.76,35.53,22.16,16.93,40.77,53.05,39.29,53.05,42.42,31.48,19.80,47.52,33.06,43.54,33.23
gemma-2-9b-it,prompt_1,28.17,18.35,15.79,23.45,18.62,31.41,34.92,36.80,34.05,25.44,19.36,32.49,49.57,31.85,46.25,35.61,32.10,20.29,43.04,31.03,38.76,30.83
gemma-2-9b-it,prompt_2,27.38,17.83,14.02,23.36,18.29,33.85,30.78,42.04,33.33,22.64,17.03,37.16,52.95,32.58,50.07,36.19,29.66,19.90,43.16,27.79,38.52,30.88
gemma-2-9b-it,prompt_3,28.45,16.12,13.57,20.69,15.70,33.58,33.88,42.23,32.30,20.01,16.54,37.41,52.65,35.68,51.75,36.21,29.66,18.71,44.38,28.73,38.82,30.81
Llama-3.1-8B-Instruct,prompt_1,13.21,13.67,9.90,14.53,15.22,17.14,13.42,20.75,14.80,16.00,13.30,20.85,27.59,16.37,20.99,16.30,19.47,15.32,16.64,17.69,16.95,16.67
Llama-3.1-8B-Instruct,prompt_2,14.66,14.50,10.77,15.73,16.41,17.47,13.87,22.03,15.44,16.39,14.65,21.70,28.67,17.31,22.40,16.61,20.18,15.40,16.95,18.16,17.87,17.48
Llama-3.1-8B-Instruct,prompt_3,12.31,13.87,10.47,14.92,16.15,16.76,12.76,20.35,14.49,16.37,14.17,20.02,26.36,16.14,19.98,16.09,19.64,14.76,16.14,17.33,16.70,16.47
gemini-1.5-pro-002,prompt_1,24.38,37.62,42.55,54.62,48.26,28.10,46.80,43.74,41.18,52.83,51.48,35.83,55.16,32.22,49.29,25.73,10.85,32.15,19.52,16.63,21.00,36.66
gemini-1.5-pro-003,prompt_2,24.63,37.35,42.30,55.31,48.15,27.24,46.61,42.68,40.79,52.75,51.89,35.51,56.26,30.67,49.23,24.15,9.74,31.78,13.71,16.16,19.16,36.00
gemini-1.5-pro-004,prompt_3,24.36,37.52,43.03,55.17,48.26,27.79,46.93,41.34,41.13,53.01,51.64,35.90,55.77,32.23,49.41,25.73,10.83,32.57,19.79,16.76,21.04,36.68
gpt-4o-2024-08-06,prompt_1,19.63,37.48,39.49,56.24,46.08,30.77,46.00,52.95,41.08,53.81,49.53,31.47,58.27,23.55,49.95,14.00,6.35,20.79,8.87,10.76,24.92,34.38
gpt-4o-2024-08-07,prompt_2,17.57,35.87,39.17,52.26,45.45,28.50,44.23,51.44,40.34,53.59,49.13,31.23,53.86,23.24,42.28,10.11,6.66,14.95,8.02,9.35,17.39,32.13
gpt-4o-2024-08-08,prompt_3,19.86,37.60,39.65,56.44,46.20,30.81,46.07,52.38,40.95,53.81,49.61,31.81,58.17,22.23,50.02,14.42,6.06,20.81,7.72,9.22,24.92,34.23
