model,prompt,eng,fra,amh,hau,ibo,lin,lug,orm,pcm,run,sna,som,swa,tir,xho,yor,avg_score
AfroLlama-V1,prompt_1,25.7400,8.7700,2.3900,21.1900,11.0300,17.1400,0.4500,16.0000,19.6700,8.3900,8.4000,28.5700,18.0700,7.7200,6.4000,14.3600,12.8
AfroLlama-V1,prompt_2,19.0900,5.2100,0.0000,10.6800,11.0300,0.0000,0.0000,4.6200,5.5700,1.2400,1.3600,9.1800,9.0300,6.6200,1.6800,3.4100,4.6
AfroLlama-V1,prompt_3,67.0900,63.9800,17.5500,60.1300,49.2300,65.7100,59.1900,40.3100,68.2000,56.2100,58.2700,46.2600,56.0900,9.9300,50.1700,69.1000,50.5
AfroLlama-V1,prompt_4,18.2500,15.1700,2.1300,18.2100,25.3800,57.7100,44.3900,30.7700,20.6600,29.8100,27.1000,34.0100,21.2200,11.0300,20.2000,27.7400,26.5
AfroLlama-V1,prompt_5,31.7500,21.5600,8.2400,22.2900,27.9500,53.1400,45.7400,28.6200,23.6100,26.4000,31.7100,34.0100,21.2200,22.0600,18.5200,35.2800,28.5
InkubaLM-0.4B,prompt_1,16.6700,11.1400,1.8600,12.7200,19.2300,17.1400,18.3900,18.1500,11.1500,13.6600,10.0300,18.7100,26.0500,2.9400,3.0300,14.8400,13.4
InkubaLM-0.4B,prompt_2,14.8700,11.8500,0.0000,14.4400,21.7900,22.8600,20.1800,28.3100,10.1600,23.2900,23.3100,24.1500,24.3700,3.6800,7.7400,15.8200,17.2
InkubaLM-0.4B,prompt_3,14.3500,12.8000,0.0000,15.0700,20.0000,9.7100,18.3900,23.6900,4.2600,18.3200,14.3600,20.7500,23.5300,0.3700,2.0200,15.5700,13.3
InkubaLM-0.4B,prompt_4,14.5600,9.7200,0.0000,13.5000,17.6900,8.5700,17.0400,20.6200,5.2500,13.9800,14.3600,21.4300,21.0100,2.2100,1.3500,11.4400,12.0
InkubaLM-0.4B,prompt_5,20.2500,13.2700,0.8000,16.6400,18.4600,9.7100,11.6600,24.3100,17.3800,14.2900,18.4300,21.0900,26.2600,2.2100,7.4100,9.2500,14.1
LLaMAX3-8B-Alpaca,prompt_1,23.5200,9.4800,16.7600,18.6800,2.8200,30.8600,1.3500,7.0800,14.7500,15.8400,4.3400,9.5200,13.0300,15.0700,11.4500,7.5400,12.1
LLaMAX3-8B-Alpaca,prompt_2,24.3700,7.8200,0.2700,15.5400,1.2800,1.7100,4.9300,4.6200,4.2600,19.5700,24.6600,10.2000,15.1300,6.6200,25.5900,6.5700,10.1
LLaMAX3-8B-Alpaca,prompt_3,61.2900,49.0500,35.1100,47.5700,43.3300,75.4300,49.7800,40.0000,52.1300,42.2400,39.5700,37.0700,41.8100,42.2800,45.7900,44.5300,45.5
LLaMAX3-8B-Alpaca,prompt_4,42.8300,32.7000,21.8100,37.6800,25.6400,65.1400,52.4700,17.5400,53.4400,40.0600,34.6900,20.7500,24.3700,26.1000,54.2100,42.0900,36.9
LLaMAX3-8B-Alpaca,prompt_5,31.7500,22.9900,16.2200,24.9600,8.2100,58.2900,38.1200,9.5400,26.2300,28.8800,19.5100,10.2000,13.8700,18.3800,22.9000,17.5200,22.3
