model,prompt,bam,bbj,ewe,fon,hau,ibo,kin,lug,luo,mos,nya,pcm,sna,swa,tsn,twi,wol,xho,yor,zul,avg
AfroLlama-V1,prompt_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
AfroLlama-V1,prompt_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
AfroLlama-V1,prompt_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
AfroLlama-V1,prompt_4,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
AfroLlama-V1,prompt_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
InkubaLM-0.4B,prompt_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
InkubaLM-0.4B,prompt_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
InkubaLM-0.4B,prompt_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
InkubaLM-0.4B,prompt_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
InkubaLM-0.4B,prompt_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
LLaMAX3-8B-Alpaca,prompt_1,25.94,18.85,37.02,19.15,42.61,36.38,40.71,39.44,25.61,32.91,42.66,48.59,45.69,47.58,33.83,28.36,29.36,52.19,36.63,51.49,36.8
LLaMAX3-8B-Alpaca,prompt_2,26.92,19.31,38.53,20.02,44.64,36.46,42.11,44.27,26.5,34.07,45.22,54.58,47.03,49.59,36.93,30.21,32.07,55.85,37.3,51.5,38.7
LLaMAX3-8B-Alpaca,prompt_3,27.32,20.43,38.77,21.26,44.17,38.37,41.26,45.18,26.68,34.36,45.14,56.15,48.54,49.25,38.95,31.93,31.87,55.01,38.92,51.4,39.2
LLaMAX3-8B-Alpaca,prompt_4,25.69,19.83,38.78,18.83,42.56,37.1,40.23,41.58,25.79,32.81,43.29,51.15,46.62,47.63,34.32,29.42,29.39,53.94,36.63,50.77,37.3
LLaMAX3-8B-Alpaca,prompt_5,31.69,25.4,43.91,25.75,41.24,40.36,44.64,45.18,28.67,37.73,47.79,54.19,50.34,48.87,49.15,37.45,34.13,52.39,41.17,50.94,41.5
Llama-2-7b-chat-hf,prompt_1,27.3,21.96,34.77,23.5,25.47,26.45,24.98,31.94,22.56,26.88,31.85,40.61,30.71,36.34,24.78,21.14,19.11,31.28,25.73,30.98,27.9
Llama-2-7b-chat-hf,prompt_2,24.49,20.69,35,22.38,24.2,24.65,25.23,31.27,21.17,24.94,29.53,40.86,21.95,35.89,23.67,21.07,17.83,28.93,25.5,28,26.4
Llama-2-7b-chat-hf,prompt_3,17.04,13.32,16.05,9.5,7.74,14.99,11.45,3.47,16.76,12.22,1.24,20.26,0.77,16.04,15.2,8.53,10.36,5.23,11.41,1.16,10.6
Llama-2-7b-chat-hf,prompt_4,22.73,18.28,32.17,19.46,22.12,19.59,19.05,29.93,19.53,23.58,25.98,35.1,20.86,27.23,21.2,16.14,18.01,29.28,22.54,25.65,23.4
Llama-2-7b-chat-hf,prompt_5,21.4,20.44,27.49,20.28,21.53,23.1,23.46,27.98,18.37,22.92,27.63,38.2,27.79,32.54,22.83,20.63,16.82,29.43,20.74,27.83,24.6
Llama-3.1-70B-Instruct,prompt_1,39.69,27.02,52.51,36.12,54.85,50.8,43.49,46.05,36.28,43.92,63.08,74.61,65.33,64.29,51.7,51.95,46.44,67.79,58.38,70.43,52.2
