model,prompt,eng,fra,amh,ewe,hau,ibo,kin,lin,lug,orm,sna,sot,swa,twi,wol,xho,yor,zul,ara,swa,yor,avg_score
InkubaLM-0.4B,prompt_1,24.3,23.5,22.6,23.6,27.1,22.5,23.3,25.1,20.6,24.8,22.6,25.1,24.6,24.2,23.8,26.2,23.3,23.4,23.57,24.83,24.55,24.0
InkubaLM-0.4B,prompt_2,22.4,20.7,22.6,22.2,24.6,19.4,22.6,23.4,20.3,21.7,21.8,25.5,21.6,21.3,18.8,22.5,21.5,22.2,22.96,22.94,22.97,22.2
InkubaLM-0.4B,prompt_3,22.2,21.2,21.2,21.6,25.1,19.8,20.7,23.9,18.7,21.4,22.4,26.6,22.4,22.7,20,21,21.6,23.4,24.96,26.71,26.39,22.7
InkubaLM-0.4B,prompt_4,22.1,21.8,21.8,21.3,23,19,21.1,22,20.3,21.4,21.6,26.4,21.3,20.3,19.2,21,20.9,22.6,24.88,24.03,23.62,21.9
InkubaLM-0.4B,prompt_5,22.4,21.2,22.3,22.7,25,20.4,21.8,24.5,19.8,21.6,21.8,26.3,22.2,21,20.3,21.4,22.5,22.4,24.32,27.99,26.73,22.9
AfroLlama-V1,prompt_1,32.1,24,22.9,24.9,27.2,26.3,21.6,25.1,24.7,23.8,25.7,25,28.7,25.4,21.4,24.1,27.1,25.4,23.57,24.83,24.55,24.9
AfroLlama-V1,prompt_2,32.4,24.7,24.5,25.9,25.7,24.3,22.2,24.6,23.7,25,23,25.4,28.5,23.5,23.1,24.3,26.7,24.9,22.96,22.94,22.97,24.4
AfroLlama-V1,prompt_3,34,24.8,23.8,25.7,26.4,24.9,24.8,25.4,24.4,23.8,24.9,24.9,29.3,25.3,24,26.3,28.3,27.1,24.96,26.71,26.39,25.7
AfroLlama-V1,prompt_4,33.4,23.8,24.3,26.3,26.1,25.4,21.8,25.6,23.5,25.6,24.1,23.8,27.8,23.3,23.5,23.9,25,26.8,24.88,24.03,23.62,24.7
AfroLlama-V1,prompt_5,33.4,24.8,23.9,27.2,28.4,26.7,23,26.4,24.5,22.6,25.1,26,29.4,24.2,24.1,26.6,27.5,26.4,24.32,27.99,26.73,25.8
aya-101,prompt_1,41,37.2,32.2,27,33.4,34.2,29.6,27.6,27.4,26.4,26.2,33.2,35.2,26.8,24.4,31.6,29,29.8,39.13,38.46,33.14,30.8
aya-101,prompt_2,40,36.6,31.6,25.4,33.4,36.8,30.8,27.8,28,26.2,28.2,31.8,32.2,26.8,25.2,32,28.4,29.8,26.19,24.1,23.66,28.9
aya-101,prompt_3,41.8,36.0,32.6,26.0,32.0,34.4,31.0,28.2,27.8,26.2,27.0,32.8,34.2,26.8,25.0,31.8,30.0,28.6,38.43,36.83,30.66,30.5
aya-101,prompt_4,40.2,36.8,31.6,25.6,33.0,36.8,29.2,27.8,27.4,27.8,28.0,32.0,33.8,26.0,24.6,32.2,28.8,31.2,39.14,38.21,33.32,30.9
aya-101,prompt_5,42.8,36.8,32.0,25.8,31.2,36.6,31.6,28.8,26.6,26.4,27.6,32.2,33.6,26.6,25.0,31.6,29.0,29.2,39.1,38.63,33.34,30.8
gemma-1.1-7b-it,prompt_1,42.8,38.2,24.8,26.6,28.8,27.4,25.4,27.6,29.2,27.8,27.6,28.8,28.4,29.6,25.4,25.0,27.4,28.0,41.52,36.54,27.36,28.6
gemma-1.1-7b-it,prompt_2,44.6,38.0,23.4,26.4,27.4,27.8,26.2,28.4,27.6,26.8,27.2,26.4,25.2,28.6,24.4,24.4,26.0,29.2,32.13,29.97,24.41,26.9
gemma-1.1-7b-it,prompt_3,42.0,36.4,23.2,26.8,26.8,26.8,26.6,28.4,27.0,26.4,28.2,25.2,25.4,27.6,25.4,24.8,27.2,26.8,41.11,36.61,28.38,27.8
gemma-1.1-7b-it,prompt_4,43.8,37.6,26.0,27.4,28.6,27.4,26.8,28.6,28.2,28.4,26.0,28.0,27.2,28.6,24.4,24.8,26.0,29.4,26.3,25.65,24.23,26.9
gemma-1.1-7b-it,prompt_5,41.4,36.2,23.4,26.8,27.8,26.8,26.0,28.0,28.6,26.8,26.4,25.6,27.0,28.8,24.8,25.4,26.0,27.4,41.78,36.41,28.93,28.0
Llama-2-7b-chat-hf,prompt_1,36.4,36.0,23.2,24.6,25.2,29.4,26.6,25.8,27.4,24.4,25.8,26.8,26.0,30.0,27.6,25.4,25.4,23.4,22.94,23.2,23.11,25.6
Llama-2-7b-chat-hf,prompt_2,33.4,33.4,20.6,23.4,22.4,23.6,21.6,23.2,23.6,23.2,25.8,25.0,24.2,22.8,22.8,24.4,21.8,22.8,22.95,23.01,22.97,23.2
