model,prompt,fra_Latn,afr_Latn,amh_Ethi,bem_Latn,ewe_Latn,hau_Latn,ibo_Latn,kin_Latn,mlg_Latn,nde_Latn,nso_Latn,nya_Latn,orm_Ethi,sna_Latn,som_Latn,ssw_Latn,swa_Latn,tir_Ethi,tsn_Latn,ven_Latn,wol_Latn,xho_Latn,yor_Latn,zul_Latn,avg_score
AfroLlama-V1,prompt_1,11.52,16.9,5.56,10.16,7.65,7.55,5.65,12.12,9.51,12.11,12.52,9.62,6.38,8.32,6.96,9.6,10.07,4.81,10.53,9.26,6.77,9.21,7.14,11.74,9.1
AfroLlama-V1,prompt_2,9.92,7.6,5.48,7.83,5.64,8.39,5.91,6.48,6.7,8.42,6.56,6.26,4.61,7.04,5.54,7.86,9.61,4.94,6.31,6.61,5.05,8.87,6.66,9.37,6.9
AfroLlama-V1,prompt_3,10.43,8.18,5.36,8.52,8.33,8.55,7.07,6.87,8.51,10.7,10.79,6.76,5.49,10.25,5.95,8.31,9.55,7.97,7.99,8.05,5.77,9.33,6.8,9.61,8.0
InkubaLM-0.4B,prompt_1,1.39,1.6,0,1.13,0.32,0.74,0.33,0.9,1.06,0.86,1.19,1.34,1,0.91,0.98,0.7,1.06,0,0.81,2.79,0.71,0.97,0.71,0.97,0.9
InkubaLM-0.4B,prompt_2,1.36,0.99,0,1.06,0.8,0.52,0.39,0.39,0.45,0.62,1.53,0.39,0.87,0.39,1.21,0.83,0.58,0,0.46,3.34,0.63,0.58,0.59,0.77,0.8
InkubaLM-0.4B,prompt_3,0.87,1.76,0,1.52,1.1,0.68,0.5,0.54,0.63,0.59,1.98,0.49,1.08,0.6,1.21,0.82,0.49,0,0.66,3.66,0.82,0.59,0.39,0.9,0.9
LLaMAX3-8B-Alpaca,prompt_1,61.64,72.25,39.59,30.39,26.41,51.41,46.01,40.96,41.7,40.53,33.52,46.21,26.07,46.79,50.45,36.49,59.27,26.94,34.5,27.41,28.21,48.11,34.96,48.17,40.7
LLaMAX3-8B-Alpaca,prompt_2,61.39,72.65,40.89,31.47,26.52,52.66,47.5,42.59,43.57,42.19,35.82,46.94,26.57,47.75,52.58,37.96,59.94,28.66,36.04,27.49,30.3,49.14,35.9,49.14,41.9
LLaMAX3-8B-Alpaca,prompt_3,60.99,72.47,40.52,31.25,26.62,52.42,47.28,42.59,43.23,41.95,35.92,46.58,26.1,47.25,52.32,37.5,59.58,28.32,35.77,27.92,30.45,49.13,35.8,48.99,41.7
Llama-2-7b-chat-hf,prompt_1,55.01,51.89,17.94,14.06,22.26,12.56,17.27,8.93,7.92,9.59,14.38,12.78,16.51,5.6,13.82,19.73,15.95,17.6,12.58,12.85,15.66,10.19,9.75,17.11,15.5
